structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.9942,-20.52941391,0.0022,0.0004,0.00030000000000000003
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.9771,-20.51231391,0.0023,0.0004,0.00030000000000000003
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.9601,-20.49531391,0.0024,0.0004,0.0004
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.943,-20.47821391,0.0026,0.0005,0.0005
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.926,-20.46121391,0.0027,0.0007,0.0005
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.909,-20.444213910000002,0.0029,0.0007,0.0006000000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.8919,-20.42711391,0.0031,0.0007999999999999999,0.0007000000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.8749,-20.41011391,0.0032,0.001,0.0008
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.8579,-20.39311391,0.0033,0.001,0.0009
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.8408,-20.37601391,0.0034,0.0012,0.001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.8238,-20.35901391,0.0035,0.0013,0.0012000000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.8067,-20.34191391,0.0035,0.0014,0.0013
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.7897,-20.32491391,0.0034,0.0015,0.0014
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.7727,-20.30791391,0.0034,0.0017000000000000001,0.0015999999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.7556,-20.29081391,0.0033,0.0018,0.0017000000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.7386,-20.27381391,0.0032,0.0018,0.0018
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.7216,-20.25681391,0.0032,0.0018,0.0018
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.7045,-20.23971391,0.0031,0.0018,0.0019
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.6875,-20.22271391,0.003,0.0018,0.0019
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.6705,-20.20571391,0.003,0.0017000000000000001,0.0018
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.6534,-20.18861391,0.0029,0.0017000000000000001,0.0018
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.6364,-20.17161391,0.0028,0.0017000000000000001,0.0018
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.6193,-20.154513910000002,0.0027,0.0016,0.0015999999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.6023,-20.13751391,0.0027,0.0014,0.0015999999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.5853,-20.12051391,0.0026,0.0014,0.0015
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.5682,-20.10341391,0.0026,0.0014,0.0015
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.5512,-20.08641391,0.0026,0.0014,0.0015
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.5342,-20.06941391,0.0026,0.0014,0.0015
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.5171,-20.05231391,0.0027,0.0014,0.0015
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.5001,-20.03531391,0.0027,0.0014,0.0017000000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.483,-20.01821391,0.0028,0.0015,0.0018
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.466,-20.00121391,0.003,0.0017000000000000001,0.002
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.449,-19.98421391,0.0031,0.0018,0.0022
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.4319,-19.967113910000002,0.0033,0.0018,0.0022
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.4149,-19.95011391,0.0034,0.0019000000000000002,0.0024000000000000002
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.3979,-19.93311391,0.0037,0.0021,0.0027999999999999995
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.3808,-19.91601391,0.0039,0.0021,0.0029
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.3638,-19.89901391,0.0042,0.0022,0.0029
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.3468,-19.88201391,0.0045,0.0024,0.0031
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.3297,-19.864913910000002,0.0049,0.0024,0.0031999999999999997
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.3127,-19.84791391,0.0052,0.0026,0.0034000000000000002
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.2956,-19.83081391,0.0055,0.0027999999999999995,0.0036
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.2786,-19.81381391,0.0058,0.0029,0.0039
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.2616,-19.79681391,0.006,0.0031000000000000003,0.0042
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.2445,-19.77971391,0.0062,0.0031999999999999997,0.004399999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.2275,-19.76271391,0.0063,0.0033,0.0046
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.2105,-19.74571391,0.0064,0.0034,0.0049
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.1934,-19.72861391,0.0065,0.0034,0.0050999999999999995
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.1764,-19.71161391,0.0066,0.0034999999999999996,0.0053
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.1593,-19.69451391,0.0066,0.0036,0.0055
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.1423,-19.677513910000002,0.0067,0.0036,0.0056
