structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.7934,-19.8276847,0.0073,0.00315,0.00565
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.7763,-19.8105847,0.0077,0.0036,0.0063
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.7592,-19.7934847,0.0081,0.00405,0.00715
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.7421,-19.7763847,0.0084,0.0044,0.00795
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.725,-19.7592847,0.0087,0.00485,0.00865
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.7079,-19.7421847,0.0088,0.0050999999999999995,0.0091
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.6908,-19.7250847,0.00875,0.005200000000000001,0.0094
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.6737,-19.7079847,0.0086,0.0053,0.00945
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.6566,-19.690884699999998,0.0084,0.0053,0.00945
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.6395,-19.6737847,0.0081,0.005200000000000001,0.0093
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.6224,-19.6566847,0.0079,0.0051,0.00905
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.6053,-19.6395847,0.0077,0.0049,0.00885
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.5882,-19.6224847,0.0075,0.004750000000000001,0.00855
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.5711,-19.6053847,0.0074,0.00455,0.00825
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.5541,-19.5883847,0.0074,0.004399999999999999,0.0081
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.537,-19.5712847,0.0074,0.004200000000000001,0.0079
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.5199,-19.5541847,0.0075,0.00415,0.0078
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.5028,-19.5370847,0.0076500000000000005,0.0041,0.00765
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.4857,-19.5199847,0.00785,0.0041,0.0077
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.4686,-19.5028847,0.0081,0.004200000000000001,0.007850000000000001
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.4515,-19.4857847,0.00835,0.00435,0.0081
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.4344,-19.4686847,0.0086,0.00455,0.0084
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.4173,-19.451584699999998,0.0087,0.0047,0.008799999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.4002,-19.4344847,0.0088,0.0049,0.00905
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.3831,-19.4173847,0.0088,0.005049999999999999,0.0094
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.366,-19.4002847,0.0087,0.00515,0.00955
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.3489,-19.3831847,0.0086,0.0050999999999999995,0.00955
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.3318,-19.3660847,0.0085,0.0050999999999999995,0.009550000000000001
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.3148,-19.3490847,0.0084,0.004999999999999999,0.00955
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.2977,-19.3319847,0.0083,0.004999999999999999,0.009600000000000001
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.2806,-19.3148847,0.0083,0.0049499999999999995,0.0097
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.2635,-19.2977847,0.0083,0.004999999999999999,0.00995
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.2464,-19.2806847,0.0084,0.0050999999999999995,0.010499999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.2293,-19.2635847,0.0085,0.0052,0.01095
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.2122,-19.2464847,0.0086,0.00535,0.0115
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.1951,-19.2293847,0.0087,0.005549999999999999,0.012
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.178,-19.2122847,0.0088,0.0057,0.0125
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.1609,-19.1951847,0.0089,0.0058000000000000005,0.012849999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.1438,-19.1780847,0.009,0.0058000000000000005,0.0132
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.1267,-19.1609847,0.009049999999999999,0.005849999999999999,0.013399999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.1096,-19.1438847,0.0091,0.0058,0.01345
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.0925,-19.126784699999998,0.00915,0.0058,0.013649999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.0755,-19.1097847,0.0092,0.0058,0.0139
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.0584,-19.0926847,0.00925,0.0057,0.01415
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.0413,-19.0755847,0.0093,0.005849999999999999,0.0144
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.0242,-19.0584847,0.0093,0.0059,0.0148
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.0071,-19.0413847,0.0093,0.006,0.015
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.99,-19.0242847,0.00925,0.0060999999999999995,0.015499999999999998
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.9729,-19.0071847,0.0092,0.0060999999999999995,0.01575
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.9558,-18.9900847,0.0092,0.0062,0.01595
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.9387,-18.9729847,0.00915,0.0062,0.016149999999999998
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.9216,-18.9558847,0.0092,0.0062,0.0163
