structure,defect_atom_number,reference_atom_number,element,initial_distance_to_vacancy_A,relaxed_distance_to_vacancy_A,distance_change_A,total_displacement_A,radial_projection_A,motion_relative_to_vacancy,dx_A,dy_A,dz_A
vacancy_O1,42,43,O,6.267566114009552,6.273493949843665,0.005927835834112827,0.012665083180783155,0.005917842713016485,away,-0.003960215037844459,0.00642309535650035,-0.010171768522311674
vacancy_O1,46,47,O,6.267566219645985,6.273995990871879,0.00642977122589361,0.012620008098159155,0.006420363854495028,away,-0.002842574545560206,0.006339731084831997,-0.010535282821194253
vacancy_O1,33,34,O,6.32648587,6.318585796622227,-0.007900073377772543,0.0107223085031415,0.007904227085008661,away,-0.00673734119346394,-0.0026644563175270693,0.007904227085008661
vacancy_O1,37,38,O,6.326485880800627,6.318317071814498,-0.00816880898612915,0.0111206734437836,0.008173309109789778,away,0.010096679737311395,-0.0025436101336377046,0.0039059548913799383
vacancy_O1,17,17,Ga,6.487320275083938,6.477457517869054,-0.00986275721488461,0.010964840337521283,-0.009864526338558879,toward,0.0020489633232727523,-0.00042825833407584955,0.010763181115567623
vacancy_O1,28,28,Ga,6.546785503769208,6.5342729139029,-0.012512589866308765,0.01272252747860271,-0.012512994477111052,toward,-0.0016838814497909733,-0.008955573828759857,-0.00887834140504196
vacancy_O1,38,39,O,6.56733800626936,6.557413217054828,-0.00992478921453177,0.010758887142839088,-0.009036332462353823,toward,0.0016659699338922094,-0.010271576802739211,0.0027336617781183463
vacancy_O1,59,60,O,6.956382636468258,6.954753320771791,-0.0016293156964675148,0.014859370273440474,-0.0016449952692183722,toward,0.0018826295538747248,0.012111271486184922,0.008400815072003904
vacancy_O1,8,8,Ga,6.963410281240933,6.970268462648374,0.0068581814074404335,0.009624601656403184,0.006854907271424248,away,-0.00013494428357560689,-0.009581218698606684,-0.0009027709201335726
vacancy_O1,74,75,O,7.129824845616081,7.098009400765347,-0.031815444850733954,0.038481039451979664,-0.03184830455461457,toward,0.008743360101502482,-0.005596123583575148,0.03705438506138813
vacancy_O1,21,21,Ga,7.167494185205784,7.152447259419138,-0.01504692578664546,0.01657914240348249,-0.015050306186124894,toward,0.003262137307593331,-0.005488778283954295,0.015300318165677161
vacancy_O1,32,32,Ga,7.2213605287379945,7.212903991650149,-0.008456537087845106,0.00981744405560075,-0.008458259006323734,toward,-0.0014911981190167166,-0.005343721154760405,-0.008099579012199192
vacancy_O1,40,41,O,7.425495752344437,7.434178404289948,0.00868265194551121,0.011008258142756296,0.008679568427313185,away,-0.0024461688956466726,0.009119892334231198,-0.005659113789593039
vacancy_O1,44,45,O,7.425495758582481,7.4346361612284335,0.009140402645952506,0.011069690621984917,0.00913777715862939,away,-0.0017771686058129876,0.009091227997177065,-0.006060469925370261
vacancy_O1,35,36,O,7.541147180499477,7.526033096026207,-0.015114084473269784,0.01979430327034997,-0.015124916969213809,toward,0.0009472067589905597,-0.019767342342201497,-0.00041160422801281586
vacancy_O1,39,40,O,7.541147271214163,7.526145521068164,-0.015001750145998471,0.019860355967292964,-0.015012980614361557,toward,-0.00013483433845162427,-0.019859310548261434,-0.00015278545897960146
vacancy_O1,63,64,O,7.594664405273694,7.589734604461208,-0.0049298008124853965,0.011130772107915026,-0.004936357465045577,toward,0.00017731554739391827,0.010889535762928405,0.0022979681857882186
vacancy_O1,78,79,O,7.753841653136059,7.72731467204582,-0.026526981090239765,0.03409049764079745,-0.026556545874006396,toward,0.007728979195739843,-0.00586984398488339,0.032679807857179416
vacancy_O2,17,17,Ga,1.8717518449034618,1.5185662136308082,-0.35318563127265357,0.3612465414487466,-0.3547240225895641,toward,0.07290615894311382,-0.19908717302549542,0.29248598809782134
vacancy_O2,9,9,Ga,2.0133962410501933,2.005577056535426,-0.007819184514767485,0.04792482202809832,-0.008374377991928706,toward,-0.006325926769179192,0.041462474679989134,-0.023186944825637122
