structure,coordination_type,reference_ga_atom_number,defect_ga_atom_number,system,orbital,energy_minus_fermi_eV,pdos_states_per_eV
vacancy_O3,tetrahedral,27,27,pristine,s,-16.88505477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.86805477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.85105477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.83395477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.816954770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.79995477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.78295477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.76595477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.74895477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.73195477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.71495477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.697954770000003,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.68095477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.66395477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.64695477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.62995477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.61295477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.59595477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.578954770000003,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.56195477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.54495477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.52795477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.510954769999998,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.493954770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.47695477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.459954770000003,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.44295477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.42595477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.408854769999998,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.391854770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.37485477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.357854770000003,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.34085477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.32385477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.30685477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.289854769999998,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.272854770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.25585477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.23885477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.22185477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.20485477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.18785477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.17085477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.153854770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.13685477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.11985477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.10285477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.08585477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.06885477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.05185477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.034854770000003,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.01785477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.00085477,0.0
